edge_id,a,b,delta_h1,delta_h2,delta_h5,delta_h10,necessary
97,11,20,-1.10685078525e-06,-2.29658243001e-06,-1.09431762496e-06,-3.79337586764e-06,False
98,11,21,-3.69657064532e-05,-7.51859305694e-05,-3.09883684366e-05,-0.000116764255978,False
99,11,22,-3.6593944607e-05,-7.39882728524e-05,-2.97413835284e-05,-0.00011065249231,False
100,11,23,-5.28536439042e-05,-0.000109306147522,-5.00126194822e-05,-0.000175533994309,False
101,12,15,-8.35830366697e-07,-1.70391263765e-06,-7.67988098005e-07,-2.62424757125e-06,False
102,12,17,-5.69860956539e-05,-0.000120075076111,-8.34141364408e-05,-0.000230660009379,False
103,12,18,-4.28010239872e-06,-8.69122292357e-06,-4.26403535414e-06,-1.47830378978e-05,False
104,12,21,-9.19780781317e-06,-1.9847435631e-05,-1.57732447406e-05,-4.1763518368e-05,False
105,13,14,-2.20462824174e-06,-4.7910732448e-06,-3.43807798231e-06,-8.33266679479e-06,False
106,13,18,-3.14611509005e-05,-6.40353202215e-05,-3.17103403091e-05,-0.000110418196243,False
107,13,21,-0.0114222294887,-0.0219753116136,0.0459958623457,-0.00037469457061,False
108,14,18,-1.1540341557e-05,-2.31430117523e-05,-9.89266078477e-06,-3.71577224314e-05,False
109,15,18,-4.44074620631e-06,-9.09978530927e-06,-4.81529313845e-06,-1.61679655548e-05,False
110,15,20,-2.60394302849e-05,-5.39791267684e-05,-2.57931155261e-05,-8.33802571094e-05,False
111,16,17,-1.30344852707e-05,-2.7464815517e-05,-1.90677562415e-05,-5.29420190674e-05,False
112,16,20,-1.19385501307e-06,-2.48028465677e-06,-1.20056533603e-06,-3.90838351905e-06,False
113,17,18,-0.289742976446,-0.357811053488,5.71622806917,2.93470855649,False
114,17,21,-0.196875507623,-0.290734910329,2.80767756521,1.33310946808,False
115,17,22,-0.413947808343,-0.56576095086,6.67259274815,3.11102309265,False
116,17,23,-1.50678771149e-06,-3.18018827983e-06,-2.23104021302e-06,-6.1392001669e-06,False
117,19,21,-0.00897719595666,-0.0178036046315,0.0238064788273,-0.0017531885961,False
118,20,22,-0.146467135807,-0.285127103089,0.200950537783,-0.242251312566,False
119,22,23,-4.67932558479e-06,-9.39632175828e-06,-4.20091072328e-06,-1.45488332066e-05,False
